chain,plu,product_name,status,rank,recipe_id,recipe_title,score,missing_components,extra_components,missing_recipe_ingredients,mixed_ingredient_groups,review_reasons,source_url
perekrestok,3507133,"Скумбрия Доброфлот дальневосточная натуральная в масле, 245г",review,2,foodru_68377,Натуральная щучья икра с маслом по-домашнему,0.5433,"dalnevostochna, dobroflot, skumbr","ikra, shchuch",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/68377-naturalnaja-shchuchja-ikra-s-maslom-po-domashnemu
perekrestok,3507133,"Скумбрия Доброфлот дальневосточная натуральная в масле, 245г",review,3,foodru_75570,Скумбрия отварная,0.3589,"dalnevostochna, dobroflot, naturalna, oil",otvarna,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/75570-skumbrija-otvarnaja
perekrestok,3607426,Тунец Магуро филе натуральное 200г,review,1,foodru_213736,Натуральное мороженое,0.5267,"maguro, tuna",morozhen,tuna,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, named_ingredient_unconfirmed, protein_unconfirmed_in_ingredients, low_name_score",https://food.ru/recipes/213736-naturalnoe-morozhenoe
perekrestok,3607426,Тунец Магуро филе натуральное 200г,review,2,foodru_54194,Натуральное суфле,0.5267,"maguro, tuna",sufl,tuna,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, named_ingredient_unconfirmed, protein_unconfirmed_in_ingredients, low_name_score",https://food.ru/recipes/54194-naturalnoe-sufle
perekrestok,3607426,Тунец Магуро филе натуральное 200г,review,3,foodru_59216,Вкусный жареный тунец,0.5183,"maguro, naturaln",,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/59216-vkusnyi-zharenyi-tunec
perekrestok,3613299,Сардина Доброфлот Иваси тихоокеанская натуральная 245г,review,1,foodru_101172,Салат «Иваси»,0.4842,"dobroflot, naturalna, sardin, tihookeanska",,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/101172-salat-ivasi
perekrestok,3613299,Сардина Доброфлот Иваси тихоокеанская натуральная 245г,review,2,foodru_165063,"Салат «Иваси» с рыбой, картофелем и солеными огурцами",0.3804,"dobroflot, naturalna, sardin, tihookeanska","cucumber, potato, rybo, sole",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/165063-salat-ivasi-1681302197
perekrestok,3613299,Сардина Доброфлот Иваси тихоокеанская натуральная 245г,review,3,foodru_125641,Натуральная кокосовая стружка,0.3788,"dobroflot, ivas, sardin, tihookeanska","coconut, struzhk",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/125641-naturalnaia-kokosovaia-struzhka-1646313099
perekrestok,3630750,"Сиг EcoFood Armenia Севанский в томатном соусе, 240г",review,1,foodru_3177,Томатный соус,0.7233,"armen, ecofood, sevanski, sig",,,,missing_named_components,https://food.ru/recipes/3177-tomatnyi-sous
perekrestok,3630750,"Сиг EcoFood Armenia Севанский в томатном соусе, 240г",review,2,foodru_103448,Соус «Помидорка»,0.7233,"armen, ecofood, sevanski, sig",,,,missing_named_components,https://food.ru/recipes/103448-sous-pomidorka
perekrestok,3630750,"Сиг EcoFood Armenia Севанский в томатном соусе, 240г",review,3,foodru_71170,Домашний рецепт томатного соуса,0.7233,"armen, ecofood, sevanski, sig",,,,missing_named_components,https://food.ru/recipes/71170-domashnii-recept-tomatnogo-sousa
perekrestok,3633223,"Шпроты Барс из балтийской кильки в масле, 175г",review,1,foodru_157992,Вкусные домашние шпроты из кильки,0.7603,bars,,,,"dish_family_unconfirmed, missing_named_components",https://food.ru/recipes/157992-vkusnye-domashnie-shproty-iz-kilki-1674649650
perekrestok,3633223,"Шпроты Барс из балтийской кильки в масле, 175г",review,2,foodru_207563,Брускетты со шпротами и маслинами,0.592,"bars, kilk",bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
perekrestok,3633223,"Шпроты Барс из балтийской кильки в масле, 175г",review,3,foodru_118880,Салат с килькой в томатном соусе,0.3608,"bars, oil, shprot",tomato,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/118880-salat-s-kilkoi-v-tomatnom-souse
perekrestok,3633258,"Блины Сибирская Коллекция Handmade с малиной, 400г",matched,1,foodru_109049,Блины с малиной,1.0,,,,,,https://food.ru/recipes/109049-bliny-s-malinoi-1644408494
perekrestok,3633258,"Блины Сибирская Коллекция Handmade с малиной, 400г",matched,2,foodru_122071,Нежные блинчики с малиной,1.0,,,,,,https://food.ru/recipes/122071-nezhnye-blinchiki-s-malinoi
perekrestok,3633258,"Блины Сибирская Коллекция Handmade с малиной, 400г",matched,3,foodru_272272,Малиновые блинчики,1.0,,,,,,https://food.ru/recipes/272272-malinovye-blinchiki-1776110564
perekrestok,3653170,"Торт Топ Шеф Миндальный замороженный, 350г",matched,1,foodru_180060,Торт миндальный,1.0,,,,,,https://food.ru/recipes/180060-tort-mindalnyi-1690980435
perekrestok,3653170,"Торт Топ Шеф Миндальный замороженный, 350г",matched,2,foodru_156474,Миндальный торт,1.0,,,,,,https://food.ru/recipes/156474-mindalnyi-tort-1673183138
perekrestok,3653170,"Торт Топ Шеф Миндальный замороженный, 350г",matched,3,foodru_172189,Панкейки ПП на миндальной муке,0.4831,tort,"flour, pankeik",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/172189-pankeiki-na-mindalnoi-muke-pp-1686769149
perekrestok,3653861,"Горбуша натуральная Пр!ст, 250г",review,1,foodru_66812,Натуральная домашняя икра из горбуши,0.9275,,ikra,,,"dish_family_unconfirmed, extra_recipe_components",https://food.ru/recipes/66812-naturalnaja-domashnjaja-ikra-iz-gorbushi
perekrestok,3653861,"Горбуша натуральная Пр!ст, 250г",review,2,foodru_30179,Паштет из горбуши,0.4911,naturalna,patty,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/30179-pashtet-iz-gorbushi
perekrestok,3653861,"Горбуша натуральная Пр!ст, 250г",review,3,foodru_125641,Натуральная кокосовая стружка,0.4735,pink_salmon,"coconut, struzhk",pink_salmon,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, named_ingredient_unconfirmed, protein_unconfirmed_in_ingredients, low_name_score",https://food.ru/recipes/125641-naturalnaia-kokosovaia-struzhka-1646313099
perekrestok,3653862,"Сайра тихоокеанская натуральная Пр!ст, 250г",review,1,foodru_204557,Салат из сайры с сыром и яйцом,0.4834,"naturalna, tihookeanska","aicom, cheese",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/204557-salat-iz-sairy
perekrestok,3653862,"Сайра тихоокеанская натуральная Пр!ст, 250г",review,2,foodru_125641,Натуральная кокосовая стружка,0.405,"sair, tihookeanska","coconut, struzhk",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/125641-naturalnaia-kokosovaia-struzhka-1646313099
perekrestok,3653862,"Сайра тихоокеанская натуральная Пр!ст, 250г",review,3,foodru_66812,Натуральная домашняя икра из горбуши,0.4035,"sair, tihookeanska","ikra, pink_salmon",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/66812-naturalnaja-domashnjaja-ikra-iz-gorbushi
perekrestok,3655792,"Паста Балтийский Берег Creme Le Mare сливочная из морепродуктов, 150г",review,1,foodru_58012,Сливочная паста с морепродуктами,1.0,,,,,retail_spread_not_pasta,https://food.ru/recipes/58012-slivochnaja-pasta-s-moreproduktami
perekrestok,3655792,"Паста Балтийский Берег Creme Le Mare сливочная из морепродуктов, 150г",review,2,foodru_45437,Паста с морепродуктами в сливочном соусе,0.9606,,,,,retail_spread_not_pasta,https://food.ru/recipes/45437-pasta-s-moreproduktami-v-slivochnom-souse
perekrestok,3655792,"Паста Балтийский Берег Creme Le Mare сливочная из морепродуктов, 150г",review,3,foodru_66469,Паста с морепродуктами и сливочным соусом,0.9606,,,,,retail_spread_not_pasta,https://food.ru/recipes/66469-pasta-s-moreproduktami-i-slivochnym-sousom
perekrestok,3662908,"Блины Сибирская Коллекция с мясом, 400г",matched,1,foodru_15241,Блины с мясом,1.0,,,,,,https://food.ru/recipes/15241-bliny-s-mjasom
perekrestok,3662908,"Блины Сибирская Коллекция с мясом, 400г",matched,2,foodru_139,Блинчики с мясом,1.0,,,,,,https://food.ru/recipes/139-blinchiki-s-mjasom
perekrestok,3662908,"Блины Сибирская Коллекция с мясом, 400г",matched,3,foodru_134226,Сытные блины с мясной начинкой,1.0,,,,,,https://food.ru/recipes/134226-sytnye-bliny-s-mjasnoi-nachinkoi
perekrestok,3681003,"Каша молочная рисовая Перекрёсток Select, 250г",matched,1,foodru_2019,Молочная рисовая каша,1.0,,,,,,https://food.ru/recipes/2019-molochnaja-risovaja-kasha
perekrestok,3681003,"Каша молочная рисовая Перекрёсток Select, 250г",matched,2,foodru_29041,Рисовая каша на молоке,1.0,,,,,,https://food.ru/recipes/29041-risovaja-kasha-na-moloke
perekrestok,3681003,"Каша молочная рисовая Перекрёсток Select, 250г",matched,3,foodru_83449,Рисовая каша на кокосовом молоке,0.9366,,coconut,,,extra_recipe_components,https://food.ru/recipes/83449-risovaja-kasha-na-kokosovom-moloke
perekrestok,3681730,"Рулетики пикантные из ветчины Перекрёсток Select, 150г",review,1,foodru_74404,Рулетики из ветчины,0.6743,pikantn,,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/74404-ruletiki-iz-vetchiny
perekrestok,3681730,"Рулетики пикантные из ветчины Перекрёсток Select, 150г",review,2,foodru_118172,Рулетики с ветчиной,0.6743,pikantn,,,,"dish_family_unconfirmed, missing_named_components, low_name_score",https://food.ru/recipes/118172-ruletiki-s-vetchinoi-1645442107
perekrestok,3681730,"Рулетики пикантные из ветчины Перекрёсток Select, 150г",review,3,foodru_98,Рулетики из ветчины с сыром,0.6243,pikantn,cheese,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/98-ruletiki-iz-vetchiny-s-syrom
